composer,score,leitmotif,match_type,similarity,start_note_idx,end_note_idx,representation,edit_distance
howard_shore,The Shire,Mime_motif,contour,1.0,6,9,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,549,552,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,105,108,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,117,120,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,242,245,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,353,356,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,379,382,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,384,387,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,442,445,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,458,461,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,467,470,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,486,489,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,513,516,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,526,529,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,540,543,contour,0
john_williams,Helena's Theme – John Williams (from Indiana Jones And The Dial Of Destiny),Sword_motif,contour,1.0,151,157,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,82,85,contour,0
john_williams,Helena's Theme – John Williams (from Indiana Jones And The Dial Of Destiny),Sword_motif,contour,1.0,107,113,contour,0
john_williams,Helena's Theme – John Williams (from Indiana Jones And The Dial Of Destiny),Sword_motif,contour,1.0,35,41,contour,0
john_williams,Helena's Theme – John Williams (from Indiana Jones And The Dial Of Destiny),Sword_motif,contour,1.0,15,21,contour,0
john_williams,Helena's Theme – John Williams (from Indiana Jones And The Dial Of Destiny),Ride_motif,contour,1.0,184,189,contour,0
john_williams,Helena's Theme – John Williams (from Indiana Jones And The Dial Of Destiny),Mime_motif,contour,1.0,91,94,contour,0
john_williams,Flying Theme E. T. - John Williams,Sword_motif,contour,1.0,359,365,contour,0
john_williams,Flying Theme E. T. - John Williams,Sword_motif,contour,1.0,328,334,contour,0
john_williams,Flying Theme E. T. - John Williams,Sword_motif,contour,1.0,307,313,contour,0
john_williams,Flying Theme E. T. - John Williams,Sword_motif,contour,1.0,43,49,contour,0
john_williams,Flying Theme E. T. - John Williams,Sword_motif,contour,1.0,21,27,contour,0
john_williams,Flying Theme E. T. - John Williams,SwirlingBlaze_motif,contour,1.0,456,461,contour,0
john_williams,Flying Theme E. T. - John Williams,SwirlingBlaze_motif,contour,1.0,444,449,contour,0
john_williams,Flying Theme E. T. - John Williams,SwirlingBlaze_motif,contour,1.0,430,435,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,96,99,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,69,72,contour,0
john_williams,Flying Theme E. T. - John Williams,SwirlingBlaze_motif,contour,1.0,243,248,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,73,76,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Ride_motif,contour,1.0,366,371,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,423,426,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,400,403,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,363,366,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,322,325,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,308,311,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,171,174,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,129,132,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,107,110,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,102,105,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,97,100,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,80,83,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,76,79,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,68,71,contour,0
erich_wolfgang_korngold,Captain Blood Overture – Erich Wolfgang Korngold Captain Blood Overture,Mime_motif,contour,1.0,52,55,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,63,66,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,30,33,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,14,17,contour,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,contour,1.0,4,7,contour,0
john_williams,Holiday Flight (from Home Alone 2) - John Williams_Joni Leiman (Solo Piano Transcription),Sword_motif,contour,1.0,229,235,contour,0
john_williams,Holiday Flight (from Home Alone 2) - John Williams_Joni Leiman (Solo Piano Transcription),Sword_motif,contour,1.0,142,148,contour,0
john_williams,Holiday Flight (from Home Alone 2) - John Williams_Joni Leiman (Solo Piano Transcription),Ride_motif,contour,1.0,0,5,contour,0
john_williams,Holiday Flight (from Home Alone 2) - John Williams_Joni Leiman (Solo Piano Transcription),Mime_motif,contour,1.0,314,317,contour,0
john_williams,Helena's Theme – John Williams (from Indiana Jones And The Dial Of Destiny),Sword_motif,contour,1.0,247,253,contour,0
john_williams,Helena's Theme – John Williams (from Indiana Jones And The Dial Of Destiny),Sword_motif,contour,1.0,228,234,contour,0
john_williams,Helena's Theme – John Williams (from Indiana Jones And The Dial Of Destiny),Sword_motif,contour,1.0,187,193,contour,0
